article_id,garment_types,brand,Fabric,Pattern,Collar,Fastening,Neckline,Shape,Length,Fit,Color,sample
NX321C2ZI-B11,occasion_dress,Next,Chiffon,Plain,Standing collar,Laces,Backless,Flared,Long,Regular Fit,Beige,train
YOD21C0SG-T11,casual_dress,Yours Clothing,Missing,Floral,Missing,Missing,Cache-coeur,Fitted,Knee-length,Regular Fit,Brown,val
UP121C16O-I11,jersey_dress,Ulla Popken,Jersey,Floral,Missing,Belt,V-neck,Flared,Calf-length,Regular Fit,Purple,train
NX321C451-M11,maxi_dress,Next,Missing,Plain,Missing,Missing,Low-cut v-neck,Flared,Long,Regular Fit,Green,train
F2121C07B-K11,knitted_dress,Fransa,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Short,Loose Fit,Blue,val
R5921C0GP-Q11,jersey_dress,Ragwear,Chiffon,Floral,Missing,Missing,Crew neck,Fitted,Knee-length,Regular Fit,Brown,train
WG021C0LU-G11,casual_dress,WAL G.,Jersey,Plain,Standing collar,Zip,Backless,Fitted,Extra short,Regular Fit,Brown,train
APH21C0DM-K11,casual_dress,Apricot,Chiffon,Floral,Missing,Laces,Low-cut v-neck,Fitted,Short,Regular Fit,Brown,train
ON321C1NY-G11,casual_dress,ONLY,Jersey,Plain,Standing collar,Drawstring fastening,Backless,Fitted,Short,Regular Fit,Red,train
WG021C0T5-G11,evening_dress,WAL G.,Jersey,Plain,Standing collar,Zip,Crew neck,Fitted,Knee-length,Slim Fit,Red,train
CUI21C02U-Q11,knitted_dress,Cult Gaia,Rib,Plain,Missing,Missing,Backless,Fitted,Extra short,Slim Fit,Black,train
ONA21C0RE-M11,casual_dress,ONLY Carmakoma,Missing,Print,Standing collar,Laces,Cache-coeur,Fitted,Calf-length,Regular Fit,Green,train
TWG21C07S-A11,knitted_dress,Twist,Knit,Print,Missing,Missing,Crew neck,Flared,Short,Regular Fit,White,train
A0Q21C0X2-B11,evening_dress,AllSaints,Missing,Animal print,Missing,Missing,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Brown,train
LAR21C05I-O11,work_dress,Lauren Ralph Lauren Petite,Jersey,Plain,Standing collar,Zip,Missing,Fitted,Knee-length,Slim Fit,Brown,train
OBH21C000-O11,casual_dress,Object Curve,Chiffon,Animal print,Standing collar,Missing,Low-cut v-neck,Flared,Short,Regular Fit,Brown,train
OP421C0BJ-O11,knitted_dress,ONLY Petite,Rib,Marl,Standing collar,Missing,Crew neck,Body-hugging,Short,Skinny Fit,Beige,train
QS021C0E8-Q11,evening_dress,Sister Jane,Velvet,Missing,Standing collar,Button,Missing,Flared,Extra short,Regular Fit,Black,train
CKG21C015-Q11,jersey_dress,Cellbes of Sweden,Jersey,Other,Standing collar,Belt,Crew neck,Fitted,Calf-length,Regular Fit,Grey,train
VE121C466-Q11,maxi_dress,Vero Moda,Jersey,Plain,Missing,Missing,Low-cut v-neck,Fitted,Long,Regular Fit,Black,val
P6921C0JP-Q11,evening_dress,Pinko,Jersey,Plain,Standing collar,Zip,Crew neck,Body-hugging,Calf-length,Slim Fit,Black,val
C0421C0KR-C11,casual_dress,Cartoon,Jersey,Print,Missing,Missing,V-neck,Fitted,Knee-length,Regular Fit,Grey,train
C1821C0AA-Q11,jersey_dress,Calvin Klein Jeans,Jersey,Print,Missing,Missing,Crew neck,Straight,Short,Regular Fit,Black,train
NX321C49Z-H11,maxi_dress,Next,Satin,Plain,Standing collar,Button,Crew neck,Straight,Long,Regular Fit,Orange,train
VM321C119-K11,evening_dress,Vera Mont,Lace,Plain,Standing collar,Zip,Boat neck,Flared,Knee-length,Regular Fit,Black,train
WO321C04C-B11,work_dress,Won Hundred,Rib,Plain,Other,Button,Crew neck,Body-hugging,Short,Skinny Fit,Beige,val
TE421C0P1-A11,casual_dress,Ted Baker,Satin,Floral,Missing,Zip,Crew neck,Fitted,Short,Regular Fit,Blue,train
DF221C0IT-I11,work_dress,Diane von Furstenberg,Mesh,Floral,Standing collar,Missing,Missing,Body-hugging,Knee-length,Slim Fit,Purple,train
ON321C1H7-M12,knitted_dress,ONLY,Knit,Plain,Standing collar,Missing,Crew neck,Fitted,Short,Regular Fit,Green,train
V1021C2FE-Q11,shirt_dress,VILA,Missing,Plain,Turn-down collar,Button,Missing,Flared,Short,Loose Fit,Black,val
SE521C1C3-K11,occasion_dress,Selected Femme,Satin,Plain,Standing collar,Missing,Backless,Fitted,Long,Slim Fit,Blue,train
VE121C3ID-B11,casual_dress,Aware,Chiffon,Floral,Ruffle collar,Missing,Cache-coeur,Straight,Calf-length,Regular Fit,Beige,train
CRG21C03W-Q11,evening_dress,Cras,Mesh,Plain,Standing collar,Missing,Cache-coeur,Fitted,Short,Regular Fit,Grey,train
M1B21C01V-M11,occasion_dress,My Mascara Curves,Chiffon,Plain,Missing,Zip,Crew neck,Fitted,Long,Regular Fit,Green,train
BB121C0YD-B11,shift_dress,BOSS,Jersey,Plain,Lapel collar,Belt,Missing,Fitted,Knee-length,Slim Fit,Beige,train
ES121C2GL-M11,casual_dress,Esprit,Chiffon,Print,Standing collar,Laces,Missing,Straight,Short,Loose Fit,Green,val
1WA21C007-J11,casual_dress,Wasabi,Chiffon,Print,Standing collar,Missing,V-neck,Flared,Calf-length,Regular Fit,Beige,val
ARC21C06E-Q11,evening_dress,Armani Exchange,Jersey,Plain,Missing,Missing,V-neck,Fitted,Knee-length,Slim Fit,Black,train
PE321C1L5-K11,evening_dress,Pieces,Satin,Print,Missing,Missing,Cowl neck,Straight,Knee-length,Regular Fit,Blue,train
TW321C0FU-Q11,evening_dress,TWINSET,Satin,Plain,Missing,Laces,Cache-coeur,Fitted,Calf-length,Regular Fit,Black,val
1RO21C00T-B11,evening_dress,Roberto Cavalli,Jersey,Animal print,Standing collar,Zip,Crew neck,Body-hugging,Knee-length,Skinny Fit,Brown,train
ON321C2XF-Q11,evening_dress,ONLY,Chiffon,Print,Standing collar,Button,Crew neck,Fitted,Short,Regular Fit,Black,train
CE321C0DE-K11,casual_dress,Cecil,Sweat,Marl,Hood,Missing,Missing,Straight,Knee-length,Regular Fit,Grey,train
6CA21C0AY-Q11,casual_dress,Calvin Klein,Jersey,Plain,Standing collar,Zip,Crew neck,Fitted,Knee-length,Slim Fit,Black,train
CO121C1CW-Q11,casual_dress,comma,Chiffon,Print,Missing,Zip,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Beige,train
SO221C1CZ-M11,knitted_dress,s.Oliver,Knit,Plain,Polo neck,Missing,Crew neck,Fitted,Calf-length,Slim Fit,Green,val
FAB21C0BQ-B11,knitted_dress,faina,Knit,Plain,Missing,Button,Low-cut v-neck,Fitted,Calf-length,Slim Fit,Beige,val
TU221C03B-M11,casual_dress,TUZZI,Missing,Plain,Turn-down collar,Zip,Missing,Straight,Short,Regular Fit,Green,val
KAN21C0B8-O11,casual_dress,Kaffe Curve,Chiffon,Paisley,Standing collar,Missing,Cache-coeur,Flared,Calf-length,Regular Fit,Beige,train
EDD21C11O-Q11,knitted_dress,EDITED,Knit,Plain,Polo neck,Missing,Crew neck,Straight,Short,Regular Fit,Black,val
DF221C0L5-K11,casual_dress,Diane von Furstenberg,Jersey,Floral,Turn-down collar,Belt,Cache-coeur,Fitted,Calf-length,Regular Fit,Blue,train
NX321C48T-Q11,casual_dress,Next,Jersey,Plain,Standing collar,Missing,Crew neck,Flared,Short,Regular Fit,Black,val
W2K21C00S-Q11,evening_dress,WAL G CURVE,Jersey,Plain,Turn-down collar,Zip,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Black,train
JY121C0P7-Q11,knitted_dress,JDY,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Short,Regular Fit,Black,val
M3I21C10H-Q11,casual_dress,Massimo Dutti,Jersey,Plain,Standing collar,Missing,Backless,Straight,Knee-length,Regular Fit,Black,val
BB121C0T1-Q11,work_dress,BOSS,Jersey,Plain,Standing collar,Zip,Boat neck,Fitted,Knee-length,Slim Fit,Black,train
TO221C0QR-Q11,casual_dress,TOM TAILOR,Jersey,Plain,Standing collar,Drawstring fastening,V-neck,Fitted,Knee-length,Regular Fit,Black,train
R5921C08H-K11,jersey_dress,Ragwear,Jersey,Marl,Missing,Belt,Crew neck,Fitted,Short,Slim Fit,Blue,train
PE321C1P5-G11,evening_dress,Pieces,Lace,Plain,Standing collar,Button,Crew neck,Fitted,Short,Regular Fit,Brown,val
BY221C0JL-T11,shirt_dress,b.young,Missing,Floral,Turn-down collar,Button,Low-cut v-neck,Fitted,Short,Regular Fit,Purple,train
IC221C0QX-T12,casual_dress,ICHI,Jersey,Floral,Missing,Missing,Low-cut v-neck,Flared,Short,Regular Fit,Pink,train
AW721C033-E11,casual_dress,Awesome Apparel,Missing,Floral,Standing collar,Missing,Crew neck,Straight,Short,Regular Fit,Yellow,train
L8321C08V-Q11,jersey_dress,LASCANA,Jersey,Animal print,Standing collar,Missing,Crew neck,Flared,Knee-length,Regular Fit,Beige,train
JY121C0DD-N11,jersey_dress,JDY,Jersey,Plain,Standing collar,Missing,Crew neck,Flared,Calf-length,Regular Fit,Green,train
F0O21C06Y-Q11,casual_dress,Faithfull the brand,Missing,Plain,Missing,Zip,Low-cut v-neck,Missing,Extra short,Regular Fit,Black,train
OB121C13D-M11,jersey_dress,Object,Jersey,Plain,Standing collar,Missing,Crew neck,Fitted,Knee-length,Regular Fit,Green,train
NX321C2ZJ-Q12,jersey_dress,Next,Jersey,Plain,Standing collar,Missing,Crew neck,Straight,Long,Regular Fit,Black,val
FOJ21C02F-T11,casual_dress,Forever New Petite,Chiffon,Floral,Missing,Button,Crew neck,Fitted,Short,Regular Fit,Blue,val
L4221C1OC-A11,casual_dress,Lauren Ralph Lauren,Jersey,Print,Standing collar,Zip,Low-cut v-neck,Fitted,Calf-length,Slim Fit,Beige,train
AN621C217-Q11,casual_dress,Anna Field,Missing,Floral,Standing collar,Missing,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Black,train
P1Y21C02S-N11,jersey_dress,Proenza Schouler White Label,Jersey,Plain,Standing collar,Missing,Missing,Fitted,Calf-length,Slim Fit,Green,train
BYC21C06P-K11,knitted_dress,By Malina,Knit,Striped,Standing collar,Missing,Crew neck,Fitted,Calf-length,Slim Fit,Beige,train
SE521C163-I11,evening_dress,Selected Femme,Velvet,Plain,Standing collar,Button,Crew neck,Fitted,Calf-length,Regular Fit,Purple,train
Y0121C2OG-I11,evening_dress,YAS,Missing,Floral,Turn-down collar,Button,Missing,Straight,Knee-length,Regular Fit,Green,train
VE121C3GJ-K12,casual_dress,Vero Moda,Chiffon,Floral,Standing collar,Button,Crew neck,Fitted,Short,Regular Fit,Blue,train
4AP21C280-K11,occasion_dress,Apart,Chiffon,Plain,Standing collar,Zip,Backless,Straight,Long,Regular Fit,Black,val
NAA21C23M-K11,maxi_dress,NA-KD,Rib,Plain,Turn-down collar,Missing,Low-cut v-neck,Body-hugging,Long,Skinny Fit,Blue,val
4AP21C26O-K11,casual_dress,Apart,Mesh,Floral,Missing,Zip,Backless,Flared,Knee-length,Slim Fit,Black,train
HOX21C015-C11,jersey_dress,HOSBJERG,Jersey,Plain,Standing collar,Zip,Missing,Body-hugging,Short,Skinny Fit,Silver,train
TI521C0AT-M11,jersey_dress,Tiger of Sweden,Jersey,Plain,Standing collar,Zip,Crew neck,Fitted,Knee-length,Regular Fit,Green,val
C5B21C02G-M11,maxi_dress,CHIC by Lirette,Missing,Print,Missing,Laces,Backless,Flared,Long,Regular Fit,Orange,train
DE121C1B7-A11,maxi_dress,Desigual,Missing,Floral,Standing collar,Missing,Low-cut v-neck,Flared,Long,Regular Fit,Beige,train
CE321C0CT-K11,knitted_dress,Cecil,Rib,Plain,Other,Missing,Crew neck,Straight,Short,Regular Fit,Grey,train
UR621C02V-Q11,knitted_dress,Urban Classics,Knit,Plain,Polo neck,Missing,Missing,Other,Knee-length,Slim Fit,Black,train
FAH21C05T-J11,maxi_dress,Fabienne Chapot,Chiffon,Floral,Standing collar,Button,Low-cut v-neck,Fitted,Long,Regular Fit,Pink,train
TRU21C2CB-Q11,shift_dress,Trendyol,Jersey,Plain,Turn-down collar,Zip,Missing,Fitted,Extra short,Slim Fit,Black,train
MQ921C0FH-M11,work_dress,MAX&Co.,Jersey,Plain,Missing,Zip,Square neck,Straight,Knee-length,Regular Fit,Green,train
E0R21C04A-T11,casual_dress,Ellos Collection,Jersey,Print,Missing,Belt,Cache-coeur,Fitted,Calf-length,Regular Fit,Brown,train
GA321C0AJ-A11,jersey_dress,GANT,Other,Missing,Polo neck,Missing,Missing,Straight,Long,Regular Fit,Beige,train
Y0121C2AO-K11,casual_dress,YAS,Missing,Floral,Standing collar,Missing,Square neck,Fitted,Calf-length,Loose Fit,Blue,train
M6429F16F-I11,jersey_dress,MAMALICIOUS,Jersey,Floral,Missing,Missing,Low-cut v-neck,Straight,Short,Regular Fit,Purple,train
JY121C129-C11,casual_dress,JDY,Missing,Print,Standing collar,Missing,Cache-coeur,Fitted,Calf-length,Regular Fit,Green,val
SG721C0TD-K12,evening_dress,Swing,Chiffon,Missing,Missing,Missing,Low-cut v-neck,Flared,Calf-length,Regular Fit,Blue,train
NX321C44M-Q11,maxi_dress,Next,Missing,Print,Standing collar,Missing,Boat neck,Straight,Long,Regular Fit,Black,train
N1429F09H-Q11,shift_dress,Noppies,Rib,Plain,Standing collar,Zip,Crew neck,Body-hugging,Short,Slim Fit,Black,train
Z1721C1G7-K12,casual_dress,Zizzi,Jersey,Plain,Standing collar,Drawstring fastening,Crew neck,Fitted,Calf-length,Regular Fit,Blue,train
IO421C003-Q11,denim_dress,Ioannes,Denim,Plain,Missing,Button,Off-the-shoulder,Fitted,Extra short,Regular Fit,Black,val
S5521C06F-Q11,casual_dress,Triangle,Jersey,Plain,Standing collar,Missing,V-neck,Straight,Knee-length,Loose Fit,Black,train
PUC21C18S-C11,jersey_dress,PULL&BEAR,Jersey,Plain,Standing collar,Missing,Crew neck,Straight,Short,Slim Fit,Grey,train
IC221C0QH-M11,casual_dress,ICHI,Jersey,Floral,Ruffle collar,Belt,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Green,train
AN121C1NI-F11,evening_dress,Ana Alcazar,Missing,Missing,Standing collar,Missing,Scoop neck,Fitted,Calf-length,Slim Fit,Gold,val
BB121C0X2-T11,casual_dress,BOSS,Missing,Print,Standing collar,Missing,Crew neck,Straight,Short,Loose Fit,Grey,train
VEI21C0DI-J11,evening_dress,Versace Jeans Couture,Tulle,Other,Standing collar,Zip,Missing,Body-hugging,Calf-length,Skinny Fit,Orange,train
02R21C01D-Q11,maxi_dress,MOSCHINO JEANS,Jersey,Print,Missing,Laces,Backless,Fitted,Long,Regular Fit,Pink,train
BB121C0SU-E11,shift_dress,BOSS,Jersey,Plain,Missing,Zip,V-neck,Fitted,Knee-length,Slim Fit,Yellow,train
VM321C11L-K12,casual_dress,Vera Mont,Jersey,Striped,Standing collar,Missing,Crew neck,Flared,Knee-length,Regular Fit,Blue,train
M5921C17R-K11,knitted_dress,Morgan,Rib,Plain,Missing,Missing,Crew neck,Straight,Short,Slim Fit,Beige,val
LUQ21C06B-K11,shift_dress,Luisa Spagnoli,Jersey,Plain,Missing,Belt,Cache-coeur,Fitted,Short,Regular Fit,Blue,train
SAD21C0IV-M11,knitted_dress,sandro,Rib,Marl,Missing,Other,Crew neck,Fitted,Calf-length,Regular Fit,Green,train
NX321C423-K11,knitted_dress,Next,Knit,Plain,Turn-down collar,Button,Low-cut v-neck,Fitted,Calf-length,Slim Fit,Brown,train
ONA21C0TT-M11,casual_dress,ONLY Carmakoma,Missing,Print,Standing collar,Button,Crew neck,Fitted,Calf-length,Regular Fit,Green,train
SI421C04A-T11,shift_dress,Sisters Point,Jersey,Animal print,Other,Missing,Missing,Straight,Calf-length,Slim Fit,Purple,train
TOB21C0FR-A11,casual_dress,Tommy Jeans,Missing,Floral,Standing collar,Laces,Backless,Flared,Short,Loose Fit,Beige,train
D1E21C04Y-T11,casual_dress,Dea Kudibal,Missing,Print,Standing collar,Missing,Missing,Straight,Knee-length,Loose Fit,Beige,train
4AP21C281-H11,casual_dress,Apart,Chiffon,Floral,Missing,Zip,V-neck,Flared,Knee-length,Regular Fit,Beige,val
ATX21C007-B11,casual_dress,Atelier Rêve,Missing,Floral,Standing collar,Button,Crew neck,Fitted,Knee-length,Regular Fit,Beige,train
ES121C2HE-Q11,casual_dress,Esprit,Chiffon,Print,Standing collar,Missing,Crew neck,Fitted,Calf-length,Regular Fit,Yellow,train
JY121C186-Q11,casual_dress,JDY,Missing,Plain,Turn-down collar,Button,Missing,Straight,Short,Loose Fit,Brown,train
SG721C0ZZ-I11,evening_dress,Swing,Satin,Plain,Missing,Zip,Cache-coeur,Fitted,Calf-length,Regular Fit,Purple,train
DR221C07P-Q11,evening_dress,DRYKORN,Satin,Plain,Standing collar,Missing,Crew neck,Fitted,Short,Regular Fit,Black,train
APH21C0BM-C11,knitted_dress,Apricot,Knit,Striped,Standing collar,Missing,Crew neck,Straight,Short,Loose Fit,Beige,val
GU121C1HM-G11,knitted_dress,Guess,Knit,Plain,Standing collar,Missing,Low-cut v-neck,Fitted,Short,Slim Fit,Red,train
R8421C004-K12,casual_dress,Robe Légère,Missing,Plain,Turn-down collar,Missing,Missing,Straight,Knee-length,Regular Fit,Blue,train
SE521C1HL-O11,casual_dress,Selected Femme,Missing,Plain,Turn-down collar,Button,V-neck,Straight,Knee-length,Loose Fit,Beige,train
TAS21C0EX-C11,knitted_dress,TATUUM,Knit,Marl,Other,Missing,Crew neck,Straight,Knee-length,Regular Fit,Grey,train
M5921C1AE-C11,evening_dress,Morgan,Tulle,Marl,Missing,Missing,Low-cut v-neck,Straight,Short,Regular Fit,Grey,train
PHH21C044-B11,jersey_dress,Philosophy di Lorenzo Serafini,Jersey,Plain,Standing collar,Zip,Low-cut v-neck,Fitted,Long,Loose Fit,Green,train
SU221C0XC-Q11,jersey_dress,Superdry,Jersey,Plain,Missing,Missing,Backless,Fitted,Calf-length,Slim Fit,Black,val
MLP21C012-J11,occasion_dress,ML Monique Lhuillier,Tulle,Plain,Missing,Zip,Backless,Fitted,Long,Regular Fit,Purple,train
SU221C0XS-M11,casual_dress,Superdry,Missing,Floral,Missing,Button,Cache-coeur,Fitted,Short,Regular Fit,Green,val
SHI21C0I0-K12,casual_dress,Sheego,Jersey,Floral,Missing,Button,V-neck,Fitted,Calf-length,Regular Fit,Blue,val
M4R21C0EP-J11,casual_dress,Marc Cain,Missing,Plain,Missing,Missing,Low-cut v-neck,Flared,Knee-length,Loose Fit,Pink,val
FOD21C0MP-K11,maxi_dress,Forever New,Chiffon,Plain,Ruffle collar,Missing,Off-the-shoulder,Flared,Long,Regular Fit,Blue,val
VEI21C0DY-K11,jersey_dress,Versace Jeans Couture,Jersey,Print,Missing,Missing,Backless,Body-hugging,Knee-length,Skinny Fit,Purple,val
LUQ21C067-I11,casual_dress,Luisa Spagnoli,Missing,Plain,Missing,Zip,Backless,Flared,Short,Regular Fit,Blue,train
MDH21C01W-C11,evening_dress,Materiel,Missing,Marl,Lapel collar,Zip,Low-cut v-neck,Fitted,Extra short,Slim Fit,Grey,train
R8421C004-K13,casual_dress,Robe Légère,Satin,Plain,Turn-down collar,Missing,Missing,Straight,Knee-length,Regular Fit,Blue,train
SG721C0YM-K12,occasion_dress,Swing,Satin,Plain,Standing collar,Zip,Backless,Fitted,Long,Regular Fit,Blue,train
MYR21C039-K11,denim_dress,My Essential Wardrobe,Denim,Missing,Turn-down collar,Button,Missing,Fitted,Knee-length,Regular Fit,Blue,train
BEJ21C1DY-G11,shift_dress,Bershka,Rib,Plain,Standing collar,Missing,Square neck,Fitted,Short,Skinny Fit,Red,train
ON321C3J5-B11,casual_dress,ONLY,Jersey,Animal print,Missing,Missing,Cache-coeur,Fitted,Short,Regular Fit,Brown,train
UR621C02O-K12,casual_dress,Urban Classics,Jersey,Plain,Standing collar,Missing,Crew neck,Flared,Knee-length,Regular Fit,Blue,train
AN121C1LD-T11,casual_dress,Ana Alcazar,Satin,Print,Standing collar,Missing,Crew neck,Flared,Short,Loose Fit,Beige,train
PO221C0EW-A11,knitted_dress,Polo Ralph Lauren,Rib,Striped,Missing,Missing,Crew neck,Fitted,Long,Regular Fit,Blue,train
M6429F1FQ-A11,occasion_dress,MAMALICIOUS,Lace,Plain,Standing collar,Button,Crew neck,Straight,Long,Regular Fit,White,val
HU721C0RG-Q11,evening_dress,HUGO,Tulle,Print,Standing collar,Missing,Crew neck,Body-hugging,Short,Skinny Fit,Black,train
S8521C0TV-Q11,casual_dress,Street One,Jersey,Print,Standing collar,Missing,V-neck,Straight,Knee-length,Regular Fit,Grey,train
R5921C0GM-B11,jersey_dress,Ragwear,Jersey,Print,Standing collar,Missing,Crew neck,Fitted,Knee-length,Regular Fit,Beige,train
BB121C0U2-H11,casual_dress,BOSS,Missing,Plain,Missing,Zip,Crew neck,Fitted,Short,Regular Fit,Orange,train
M4R21C0H8-G11,evening_dress,Marc Cain,Knit,Missing,Missing,Zip,Low-cut v-neck,Straight,Short,Regular Fit,Pink,val
FAB21C0BF-Q11,casual_dress,faina,Chiffon,Print,Ruffle collar,Missing,Low-cut v-neck,Fitted,Extra short,Regular Fit,Beige,train
4AP21C28G-K12,evening_dress,Apart,Lace,Plain,Missing,Zip,Backless,Flared,Knee-length,Regular Fit,Grey,train
CO121C1D0-L11,casual_dress,comma,Missing,Plain,Standing collar,Zip,V-neck,Fitted,Calf-length,Regular Fit,Blue,val
6MI21C05G-G11,knitted_dress,Missoni,Knit,Other,Standing collar,Zip,Crew neck,Fitted,Calf-length,Slim Fit,Purple,train
C1821C0IR-K11,maxi_dress,Calvin Klein Jeans,Missing,Plain,Missing,Missing,Low-cut v-neck,Flared,Long,Regular Fit,Blue,val
WG021C0WR-Q11,evening_dress,WAL G.,Jersey,Plain,Missing,Belt,Cache-coeur,Fitted,Calf-length,Slim Fit,Black,val
F1421C07O-Q11,evening_dress,Filippa K,Satin,Plain,Missing,Missing,Backless,Straight,Knee-length,Regular Fit,Black,val
IC221C0KX-J11,work_dress,ICHI,Jersey,Striped,Missing,Missing,Crew neck,Fitted,Knee-length,Slim Fit,Beige,train
K0521C04V-Q11,knitted_dress,kate spade new york,Knit,Polka dot,Standing collar,Zip,Crew neck,Fitted,Knee-length,Regular Fit,Black,val
CR221C0RC-K11,casual_dress,Cream,Missing,Striped,Standing collar,Button,Crew neck,Flared,Calf-length,Loose Fit,Blue,train
V1021C2OQ-Q11,evening_dress,VILA,Jersey,Plain,Missing,Missing,Cache-coeur,Body-hugging,Short,Skinny Fit,Black,val
GU121C1JJ-M11,knitted_dress,Guess,Knit,Plain,Missing,Laces,Scoop neck,Fitted,Short,Slim Fit,Grey,val
BYC21C05G-T11,casual_dress,By Malina,Chiffon,Print,Missing,Zip,Square neck,Fitted,Short,Regular Fit,White,train
SAD21C0ID-Q11,shift_dress,sandro,Missing,Marl,Standing collar,Zip,Crew neck,Straight,Short,Regular Fit,Grey,train
VEB21C0HY-Q11,knitted_dress,Vero Moda Tall,Knit,Marl,Standing collar,Missing,Boat neck,Straight,Short,Regular Fit,Black,train
M9121C6FN-A11,casual_dress,Mango,Chiffon,Plain,Missing,Zip,Backless,Straight,Extra short,Slim Fit,White,train
FOD21C0MD-Q11,evening_dress,Forever New,Missing,Plain,Missing,Missing,Backless,Straight,Short,Regular Fit,Black,train
S2821C0MZ-M11,casual_dress,Saint Tropez,Missing,Print,Missing,Missing,Cache-coeur,Straight,Knee-length,Regular Fit,Beige,train
CR221C0RU-B11,casual_dress,Cream,Knit,Plain,Standing collar,Button,Low-cut v-neck,Straight,Long,Loose Fit,Beige,train
CO121C1AJ-O11,shift_dress,comma,Satin,Plain,Missing,Zip,Low-cut v-neck,Fitted,Knee-length,Slim Fit,Beige,val
NI121C04I-I11,jersey_dress,Nike Sportswear,Jersey,Plain,Missing,Missing,Backless,Body-hugging,Short,Skinny Fit,Purple,train
L4221C0WP-J12,jersey_dress,Lauren Ralph Lauren,Jersey,Plain,Standing collar,Zip,Missing,Straight,Long,Slim Fit,Pink,val
MMA21C04I-Q11,knitted_dress,MM6 Maison Margiela,Rib,Plain,Missing,Zip,Off-the-shoulder,Fitted,Long,Slim Fit,Black,train
KA321C183-A12,casual_dress,Kaffe,Knit,Plain,Standing collar,Missing,Backless,Straight,Knee-length,Regular Fit,White,train
HL421C052-A11,knitted_dress,Hervé Léger,Rib,Plain,Standing collar,Zip,Backless,Body-hugging,Extra short,Skinny Fit,White,val
K4821C08Z-Q11,jersey_dress,KARL LAGERFELD,Jersey,Plain,Missing,Zip,V-neck,Body-hugging,Knee-length,Skinny Fit,Black,val
THA21C0IH-K11,evening_dress,The Kooples,Velvet,Floral,Missing,Zip,Low-cut v-neck,Fitted,Short,Slim Fit,Silver,train
4AP21C29G-A11,casual_dress,Apart,Chiffon,Floral,Standing collar,Button,Crew neck,Fitted,Calf-length,Regular Fit,Blue,train
NM321C0N9-Q11,work_dress,Noisy May,Rib,Plain,Missing,Missing,Crew neck,Fitted,Short,Skinny Fit,Black,train
VE121C3SX-Q12,casual_dress,Vero Moda,Chiffon,Floral,Missing,Drawstring fastening,Low-cut v-neck,Fitted,Short,Regular Fit,Brown,val
J3121C09V-Q11,occasion_dress,Jarlo,Jersey,Plain,Other,Zip,Missing,Fitted,Long,Slim Fit,Black,train
ADK21C08J-B11,casual_dress,adL,Chiffon,Floral,Missing,Belt,Cache-coeur,Fitted,Short,Regular Fit,Beige,val
SO221C1DF-G11,knitted_dress,s.Oliver,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Short,Regular Fit,Red,val
GU121C1CP-A11,casual_dress,Guess,Other,Plain,Missing,Laces,Backless,Flared,Calf-length,Slim Fit,White,train
DE121C1AZ-G11,knitted_dress,Desigual,Rib,Plain,Standing collar,Missing,Crew neck,Fitted,Short,Regular Fit,Red,val
BYC21C05Y-T11,occasion_dress,By Malina,Missing,Animal print,Standing collar,Button,Backless,Fitted,Long,Slim Fit,Beige,train
C5J21C02P-H11,casual_dress,Colourful Rebel,Missing,Floral,Other,Laces,Cache-coeur,Fitted,Short,Regular Fit,Orange,train
FOD21C0MJ-Q11,evening_dress,Forever New,Jersey,Plain,Missing,Missing,Off-the-shoulder,Body-hugging,Calf-length,Skinny Fit,Black,train
V1021C3ZK-F11,evening_dress,VILA,Jersey,Print,Standing collar,Missing,Crew neck,Fitted,Short,Slim Fit,Brown,train
N1429F0BU-M11,knitted_dress,Noppies,Rib,Plain,Other,Missing,Crew neck,Fitted,Calf-length,Slim Fit,Green,train
L4221C1T2-T11,maxi_dress,Lauren Ralph Lauren,Chiffon,Floral,Ruffle collar,Zip,Low-cut v-neck,Fitted,Long,Slim Fit,Beige,train
VEE21C0LB-B11,casual_dress,Vero Moda Curve,Jersey,Animal print,Missing,Missing,Cache-coeur,Fitted,Calf-length,Regular Fit,Brown,train
EA821C048-K11,maxi_dress,Emporio Armani,Missing,Plain,Standing collar,Missing,Backless,Fitted,Long,Regular Fit,Black,train
V1021C47V-Q11,casual_dress,VILA,Knit,Polka dot,Standing collar,Zip,V-neck,Straight,Knee-length,Regular Fit,Brown,val
SAD21C0J6-Q11,knitted_dress,sandro,Knit,Plain,Missing,Button,Low-cut v-neck,Fitted,Calf-length,Slim Fit,Black,train
NX321C41U-Q11,casual_dress,Next,Chiffon,Print,Missing,Laces,V-neck,Straight,Knee-length,Regular Fit,Black,train
1MY21C0A6-E11,knitted_dress,myMo,Knit,Plain,Standing collar,Missing,Backless,Straight,Short,Slim Fit,Yellow,val
EF121C0NK-I11,jersey_dress,Elisabetta Franchi,Jersey,Print,Standing collar,Zip,Missing,Body-hugging,Extra short,Skinny Fit,Purple,val
